pT,y_true,y_synthetic,gp_mean,ratio_gp_mean_over_synthetic,true_uncorrelated_sigma,gp_uncorrelated_sigma,ratio_gp_uncorr_over_true,true_correlated_sigma,gp_correlated_sigma,ratio_gp_corr_over_true
0.475,1748.5,1853.5393393317427,1562.1895619949453,0.8428143545947949,43.712500000000006,154.3524659784199,3.5310830077991393,139.88,32.04133874249319,0.2290630450564283
0.525,1556.7,1517.0313426725236,1413.1360248220603,0.9315140597771481,38.917500000000004,139.62520010419348,3.587722749513547,124.536,28.113789414520102,0.22574829297970148
0.575,1382.8,1421.2491451856554,1277.2067051990875,0.8986508168011937,34.57,126.19467528633368,3.6504100458875812,110.624,24.913144071784636,0.22520559798763953
0.625,1227.3,1236.8969288440924,1153.40705591259,0.9325005414885091,30.6825,113.96262507967876,3.714254871007211,98.184,22.27615540467977,0.22688172619448962
0.675,1098.9,1078.855253664164,1040.7956751663112,0.9647222568842397,27.472500000000004,102.83603408311241,3.743235383860675,87.912,20.069767069541204,0.2282938287098599
0.725,991.06,971.9654592652973,938.4845659064042,0.9655534123772247,24.7765,92.7271635622471,3.742544893840821,79.2848,18.18934422274026,0.2294177978974565
0.775,890.56,856.4060548036549,845.6388546577002,0.9874274591059223,22.264,83.55352366898288,3.7528532010861877,71.2448,16.55546203353388,0.2323743211228592
0.825,798.43,799.993857564308,761.476048001689,0.9518523683670626,19.96075,75.23779997765897,3.7692872250621328,63.874399999999994,15.109779131056593,0.23655453720201824
0.875,717.64,757.7418802045605,685.2649000366877,0.90435136019101,17.941,67.70774158421908,3.7739112415260623,57.4112,13.810662061521697,0.24055693072992199
0.925,646.49,661.233519275641,616.3239588151157,0.9320821477566319,16.16225,60.89601748664291,3.767793313842003,51.7192,12.629101806371326,0.24418594654154213
0.975,579.66,567.5735299693673,554.0198541634745,0.9761199649204495,14.4915,54.74004741264144,3.777390015708618,46.3728,11.545234904623522,0.2489656631608081
1.05,488.6,496.5241647791713,471.73537821587314,0.9500753672798121,12.215000000000002,46.60991257930208,3.8157930887680784,39.088,10.07432188383841,0.2577343912156777
1.15,376.55,358.0254912752387,380.13490076541694,1.0617537299129944,9.41375,37.55930827157447,3.989834898055979,30.124000000000002,8.360967128748396,0.2775516906369803
1.25,313.76,312.8769089447623,305.88002441848545,0.9776369417932592,7.844,30.222539703978185,3.852949987758565,25.1008,6.895917487496353,0.27472899220329045
1.35,249.63,225.91124531963595,245.85282900657336,1.0882717620308036,6.24075,24.29154012300217,3.8924071823101665,19.9704,5.65285504250595,0.28306168341675425
1.45,199.13,185.9127750549711,197.44453699835532,1.0620278081480656,4.97825,19.508548719750134,3.9187563340029397,15.9304,4.6088897845326,0.2893141279900442
1.55,159.51,143.24508492526792,158.4871446002688,1.106405463635648,3.98775,15.65935542655294,3.9268648803342585,12.7608,3.7413312725795302,0.29318939820227025
1.65,126.83,112.23056606654048,127.1899817432224,1.133291813460271,3.17075,12.56703271320418,3.9634259128610516,10.1464,3.0273911970501746,0.298370968722914
1.75,102.06,92.43271476893663,102.08221088765573,1.104394814572318,2.5515000000000003,10.086254169383416,3.9530684575282833,8.1648,2.4448579093778773,0.2994387994045019
1.85,80.97,73.86140116358519,81.96170350249707,1.1096689503760113,2.02425,8.098243234481075,4.000614170424145,6.4776,1.9728863607589753,0.3045705756389674
1.95,65.188,61.652364238967685,65.85031655526811,1.0680906947871285,1.6297000000000001,6.506354281861531,3.9923631845502427,5.21504,1.5925889122168004,0.3053838344896301
2.1,45.736,43.80746671067986,47.50869648870107,1.084488559963201,1.1434,4.694106680041329,4.10539328322663,3.65888,1.1583555802133534,0.3165874749140047
2.3,29.707,30.98476569316331,30.88897019801827,0.9969083033871005,0.7426750000000001,3.0519911524114183,4.109457235549087,2.37656,0.7648797711866125,0.32184324030809763
2.5,19.477,20.827201697160657,20.229464789577698,0.9713001815474592,0.48692500000000005,1.998776494004662,4.104896018903654,1.55816,0.5124185951565297,0.32886134617531554
2.7,12.927,12.804662232818954,13.36886623268737,1.0440623883402669,0.323175,1.3209136205696919,4.087301370989996,1.03416,0.3488181583426979,0.3372961227882513
2.9,8.6974,9.116019089261282,8.929618188177875,0.9795523792503913,0.21743500000000002,0.882292790275003,4.057731231287525,0.695792,0.24119088933124472,0.3466422283257708
3.1,5.8994,6.880123543555365,6.036898729842018,0.87744045461172,0.147485,0.5964770399714919,4.044323422527659,0.471952,0.16919645227525862,0.3585035178900791
3.3,4.0483,4.570504248722966,4.135846910936604,0.9048994784529938,0.1012075,0.40864321791849284,4.037677226672853,0.32386400000000004,0.12027356948399197,0.3713706045870858
3.5,2.8037,2.836522576042534,2.8742317105994504,1.013294142227321,0.0700925,0.28398906452674966,4.051632692895098,0.22429600000000002,0.08657008207362127,0.3859635574135128
3.7,1.9901,2.131077539719938,2.0278354918040318,0.9515540631480383,0.049752500000000005,0.20036070933594358,4.0271485721510185,0.159208,0.06307979275752078,0.3962099439570925
3.9,1.4312,1.6186578318372709,1.453297381013665,0.8978410090315924,0.03578,0.14359335129148962,4.013229493892946,0.114496,0.04654190866324343,0.4064937522991496
4.25,0.85377,0.7810320965245312,0.8433699271452736,1.0798146848229873,0.021344250000000002,0.08332934181219073,3.904065114126321,0.0683016,0.028222523609027907,0.4132044287253579
4.75,0.43378,0.37730059844079133,0.42250814014037164,1.1198183673346984,0.0108445,0.04174600503881308,3.8495094323217374,0.0347024,0.014911938938706874,0.4297091537964773
5.25,0.24406,0.22447710147169325,0.23338894103092728,1.0397004393802627,0.0061015,0.02306004306814861,3.779405567179974,0.019524800000000002,0.008671746241427,0.4441400803812074
5.75,0.1475,0.1394045314726717,0.14087372461888653,1.0105390630469056,0.0036875,0.013919057786253686,3.7746597386450675,0.0118,0.005530187110395533,0.46865992460979095
6.25,0.097556,0.0978568129308877,0.09174428197755849,0.9375359694409193,0.0024389000000000004,0.009064812944065415,3.71676286197278,0.007804480000000001,0.0038136215015745338,0.48864517579320255
6.75,0.067227,0.06683106811234557,0.06353862178021925,0.9507347940842186,0.001680675,0.0062779467967529,3.7353722740880304,0.00537816,0.002790082591530053,0.5187801388448936
7.5,0.041627,0.038636222238673024,0.039821928956682906,1.0306889920729114,0.001040675,0.003934614008451134,3.7808287971279544,0.00333016,0.0018754591070026742,0.5631738736284966
8.5,0.023737,0.023832238797220153,0.023453071826007227,0.9840901656600909,0.0005934250000000001,0.0023172856605765315,3.9049343397675043,0.00189896,0.0011807789310970369,0.6218029506135131
9.5,0.014573,0.014264951189411127,0.014552872775859642,1.020183846591935,0.000364325,0.0014378996343795932,3.946749837039987,0.00116584,0.0007639690695462518,0.6552949543215636
10.5,0.0094158,0.009238892344084359,0.009335984594127078,1.0105090790569593,0.000235395,0.0009224439078954202,3.918706463159456,0.000753264,0.0004993747986283789,0.662947915509541
11.5,0.0063599,0.005898575509046204,0.006232724544373386,1.0566491070284212,0.0001589975,0.0006158256504797774,3.873178197643217,0.000508792,0.0003331087183401944,0.6547051021639381
12.5,0.0043829,0.004800062980899105,0.004361192346604929,0.9085698175126921,0.00010957250000000001,0.00043090852075918597,3.932633833846868,0.000350632,0.000234415121309352,0.6685502786663852
13.5,0.0032265,0.0031048061565250524,0.0031714810261659885,1.0214747286238184,8.066250000000002e-05,0.0003133588452398544,3.8848144458683325,0.00025812000000000003,0.0001762284417741134,0.6827384231137199
14.5,0.0023406,0.0022785368345375526,0.0023407034198921965,1.0272835551360577,5.8515000000000005e-05,0.00023127369032161695,3.95238298421972,0.000187248,0.00013434377376710436,0.717464398910025
15.5,0.0017306,0.0017312297209454346,0.0017114221746118523,0.9885586839840266,4.326500000000001e-05,0.00016909742543929767,3.908411543725821,0.000138448,0.0001044884243135394,0.7547124141449454
17.0,0.0011531,0.001051713581787296,0.0010488830026818626,0.9973086026895049,2.88275e-05,0.00010363510416754337,3.595008383229325,9.2248e-05,8.644667757065607e-05,0.9371116725636985
19.0,0.0007034,0.0006551699943553542,0.0006578891787607356,1.0041503494189428,1.7585e-05,6.500287772538941e-05,3.6964957478185623,5.6272e-05,6.413846020542976e-05,1.1397935066361558
